customer_id,last_date,recency,frequence,amount,intereval
CS1433,2015-02-05,2577,20,1468,70
CS1434,2015-03-05,2549,27,1758,53
CS1435,2015-01-29,2584,25,1700,56
CS1436,2015-01-16,2597,14,977,103
CS1437,2015-02-16,2566,12,880,109
CS1438,2015-02-08,2574,20,1374,66
CS1439,2015-02-10,2572,16,1160,86
CS1440,2014-12-05,2639,22,1577,55
CS1441,2015-01-07,2606,20,1351,64
CS1442,2015-03-08,2546,20,1225,72
CS1443,2015-01-22,2591,24,1876,57
CS1444,2015-02-09,2573,23,1756,60
CS1445,2015-03-14,2540,23,1526,63
CS1446,2015-03-03,2551,15,991,96
CS1447,2015-03-11,2543,14,1001,94
CS1448,2015-02-05,2577,16,1239,89
CS1449,2015-03-14,2540,20,1402,70
CS1450,2015-02-20,2562,20,1251,72
CS1451,2015-02-24,2558,22,1715,64
CS1452,2014-11-28,2646,15,941,91
CS1453,2014-11-04,2670,22,1640,53
CS1454,2015-02-24,2558,17,1126,85
CS1455,2015-03-14,2540,18,1301,77
CS1456,2014-08-24,2742,20,1363,61
CS1457,2014-12-15,2629,15,929,90
CS1458,2015-03-11,2543,20,1422,68
CS1459,2014-11-12,2662,24,1627,52
CS1460,2015-02-03,2579,18,1185,76
CS1461,2015-02-17,2565,23,1567,62
CS1462,2015-01-27,2586,24,1616,53
CS1463,2014-11-08,2666,27,1807,48
CS1464,2014-07-23,2774,21,1613,47
CS1465,2015-03-14,2540,22,1631,64
CS1466,2015-02-22,2560,17,1190,82
CS1467,2014-08-10,2756,18,1233,67
CS1468,2015-03-07,2547,21,1412,65
CS1469,2015-03-07,2547,19,1387,72
CS1470,2015-01-23,2590,22,1649,51
CS1471,2015-03-12,2542,20,1325,69
CS1472,2015-03-08,2546,19,1241,76
CS1473,2015-03-13,2541,25,1695,54
CS1474,2014-12-17,2627,21,1487,64
CS1475,2015-01-20,2593,18,1197,78
CS1476,2014-12-29,2615,20,1430,65
CS1477,2015-03-03,2551,18,1185,81
CS1478,2014-12-16,2628,19,1300,72
CS1479,2015-01-18,2595,20,1567,67
CS1480,2014-12-24,2620,17,1251,82
CS1481,2013-12-23,2986,13,876,77
CS1482,2015-02-08,2574,12,732,109
CS1483,2015-01-01,2612,24,1774,52
CS1484,2014-12-07,2637,16,1221,85
CS1485,2015-02-22,2560,25,1814,55
CS1486,2015-01-27,2586,19,1377,74
CS1487,2015-02-16,2566,10,599,146
CS1488,2015-03-03,2551,23,1595,60
CS1489,2015-02-11,2571,15,950,84
CS1490,2015-02-21,2561,25,1788,56
CS1491,2014-12-19,2625,17,1244,81
CS1492,2015-02-07,2575,19,1358,70
CS1493,2015-03-11,2543,21,1531,60
CS1494,2014-11-18,2656,21,1502,63
CS1495,2015-02-26,2556,17,1138,85
CS1496,2015-02-21,2561,18,1222,77
CS1497,2015-03-09,2545,20,1445,68
CS1498,2015-01-19,2594,22,1519,58
CS1499,2015-01-30,2583,26,1879,50
CS1500,2014-10-03,2702,15,983,63
CS1501,2015-02-09,2573,26,1965,54
CS1502,2015-03-11,2543,22,1613,60
CS1503,2015-03-15,2539,27,1927,53
CS1504,2015-01-31,2582,13,825,112
CS1505,2015-01-23,2590,25,1703,55
CS1506,2014-12-30,2614,18,1307,74
CS1507,2015-02-25,2557,21,1280,68
CS1508,2015-03-02,2552,28,1933,45
CS1509,2014-10-21,2684,20,1383,65
CS1510,2015-03-13,2541,26,1792,54
CS1511,2015-01-25,2588,18,1253,78
CS1512,2015-02-21,2561,20,1239,59
CS1513,2014-11-30,2644,22,1444,56
CS1514,2014-10-06,2699,16,1046,75
CS1515,2015-03-02,2552,22,1742,65
CS1516,2014-12-05,2639,18,1308,73
CS1517,2014-12-21,2623,18,1168,74
CS1518,2014-11-12,2662,19,1151,69
CS1519,2015-03-05,2549,15,962,91
CS1520,2015-03-13,2541,18,1162,79
CS1521,2014-09-03,2732,9,671,138
CS1522,2014-12-10,2634,14,894,99
CS1523,2014-08-13,2753,15,928,82
CS1524,2014-11-06,2668,17,1075,65
CS1525,2015-02-17,2565,17,1215,85
CS1526,2015-02-13,2569,19,1324,73
CS1527,2015-03-03,2551,19,1187,74
CS1528,2015-03-13,2541,24,1660,56
CS1529,2015-03-07,2547,25,1823,56
CS1530,2014-07-08,2789,10,626,124
CS1531,2015-02-09,2573,25,1793,53
CS1532,2014-06-06,2821,17,1140,64
CS1533,2015-02-01,2581,23,1606,56
CS1534,2015-01-07,2606,20,1379,69
CS1535,2014-12-23,2621,24,1904,54
CS1536,2015-02-09,2573,12,753,119
CS1537,2015-03-11,2543,20,1323,71
CS1538,2015-03-14,2540,19,1304,71
CS1539,2015-02-19,2563,20,1371,69
CS1540,2015-02-06,2576,19,1199,74
CS1541,2014-10-26,2679,30,2273,36
CS1542,2014-09-27,2708,27,1808,45
CS1543,2015-03-15,2539,12,948,117
CS1544,2015-01-22,2591,19,1334,72
CS1545,2015-02-23,2559,28,1935,49
CS1546,2014-08-29,2737,18,1436,69
CS1547,2015-02-19,2563,22,1600,63
CS1548,2015-02-27,2555,23,1755,61
CS1549,2015-02-19,2563,20,1393,61
CS1550,2015-01-25,2588,22,1583,60
CS1551,2014-12-05,2639,18,1300,73
CS1552,2015-02-14,2568,22,1604,55
CS1553,2014-09-10,2725,20,1444,63
CS1554,2014-10-26,2679,17,993,76
CS1555,2015-01-13,2600,23,1571,59
CS1556,2015-02-22,2560,13,1031,65
CS1557,2015-02-03,2579,30,1992,44
CS1558,2015-02-25,2557,23,1500,58
CS1559,2015-03-10,2544,20,1613,67
CS1560,2015-01-26,2587,18,1352,74
CS1561,2015-03-15,2539,15,1082,90
CS1562,2014-03-03,2916,12,711,85
CS1563,2014-02-05,2942,17,1108,59
CS1564,2015-02-26,2556,16,1304,85
CS1565,2014-11-16,2658,17,1147,79
CS1566,2014-09-07,2728,21,1491,60
CS1567,2015-02-23,2559,19,1465,76
CS1568,2015-02-11,2571,20,1604,71
CS1569,2015-02-19,2563,15,1074,88
CS1570,2014-12-04,2640,25,1782,52
CS1571,2015-02-13,2569,20,1503,70
CS1572,2015-02-10,2572,15,1085,94
CS1573,2015-02-01,2581,19,1539,72
CS1574,2015-03-09,2545,18,1018,81
CS1575,2015-01-29,2584,26,1611,49
CS1576,2014-12-13,2631,16,1074,74
CS1577,2015-02-25,2557,21,1525,67
CS1578,2014-12-18,2626,16,1125,86
CS1579,2015-02-18,2564,20,1433,71
CS1580,2014-09-07,2728,33,2329,36
CS1581,2015-02-07,2575,23,1501,60
CS1582,2015-02-26,2556,27,2009,52
